alpha,q_quadratic,q_adjusted_range,k_hat,cp_date,statistic_D_hat,normalizer_quad,normalizer_ar,RMS_shift_vol_pts,Delta_boundary_quad,Delta_boundary_ar,RMS_boundary_vol_pts_quad,RMS_boundary_vol_pts_ar
0.01,16.681078219423,5.38827620808605,11,2025-12-03,0.00867820010289186,0.0103366252942373,0.0150748388470091,9.31568575194111,0,0,0,0
0.05,10.0028467961863,3.30875574808282,11,2025-12-03,0.00867820010289186,0.0103366252942373,0.0150748388470091,9.31568575194111,0,0,0,0
0.1,7.33037727651586,2.44731543148085,11,2025-12-03,0.00867820010289186,0.0103366252942373,0.0150748388470091,9.31568575194111,0,0,0,0
