Delta,RMS_vol_pts,quad_reject_alpha_0.01,ar_reject_alpha_0.01,quad_reject_alpha_0.05,ar_reject_alpha_0.05,quad_reject_alpha_0.1,ar_reject_alpha_0.1
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1e-04,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4e-04,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9e-04,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0.0016,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0.0025,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0.0036,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0.0049,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0.0064,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0.0081,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0.01,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0.0121,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0.0144,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0.0169,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0.0196,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0.0225,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
